time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-01 00:00:00+00:00,,,1,1
2025-01-02 00:00:00+00:00,,,4,2
2025-01-03 00:00:00+00:00,,,6,3
2025-01-04 00:00:00+00:00,,,3,1
2025-01-05 00:00:00+00:00,,,71,3
2025-01-06 00:00:00+00:00,1.0,1.0,66,7
2025-01-07 00:00:00+00:00,,,14,5
2025-01-08 00:00:00+00:00,,,9,1
2025-01-09 00:00:00+00:00,,,10,4
2025-01-10 00:00:00+00:00,,,25,3
2025-01-11 00:00:00+00:00,,,1,1
2025-01-12 00:00:00+00:00,,,15,3
2025-01-13 00:00:00+00:00,,,3,3
2025-01-14 00:00:00+00:00,1.0,1.0,27,5
