time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-06 00:00:00+00:00,1.0,1.0,66,7
2025-01-07 00:00:00+00:00,,,14,5
2025-01-08 00:00:00+00:00,,,9,1
2025-01-09 00:00:00+00:00,,,10,4
2025-01-10 00:00:00+00:00,,,25,3
2025-01-11 00:00:00+00:00,,,1,1
2025-01-12 00:00:00+00:00,,,15,3
2025-01-13 00:00:00+00:00,,,3,3
2025-01-14 00:00:00+00:00,9.0,6.0,85,7
2025-01-15 00:00:00+00:00,,,10,2
2025-01-16 00:00:00+00:00,,,2,2
2025-01-17 00:00:00+00:00,1.0,1.0,4,3
2025-01-18 00:00:00+00:00,,,5,2
2025-01-19 00:00:00+00:00,,,3,1
