time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-03 00:00:00+00:00,1,1,29.0,7.0
2025-04-04 00:00:00+00:00,1,1,10.0,2.0
2025-04-05 00:00:00+00:00,3,2,,
2025-04-06 00:00:00+00:00,1,1,7.0,2.0
2025-04-07 00:00:00+00:00,4,2,26.0,11.0
2025-04-08 00:00:00+00:00,1,1,4.0,2.0
2025-04-09 00:00:00+00:00,1,1,26.0,5.0
2025-04-10 00:00:00+00:00,2,2,11.0,4.0
2025-04-11 00:00:00+00:00,1,1,6.0,5.0
2025-04-12 00:00:00+00:00,1,1,20.0,3.0
2025-04-13 00:00:00+00:00,4,2,4.0,3.0
2025-04-14 00:00:00+00:00,10,3,3.0,3.0
2025-04-15 00:00:00+00:00,5,2,9.0,4.0
2025-04-16 00:00:00+00:00,2,2,60.0,3.0
