referrer,views_total,views_unique
github.com,67,2
app.raindrop.io,8,1
Google,7,5
mldataanalytics.github.io,5,1
pypi.org,4,1
chatgpt.com,2,1
pnet.readthedocs.io,1,1
yandex.ru,1,1
